2025 scores #,Nation or Territory,Corruption index (*),"Rank Change"
1,Denmark,89,–
2,Finland,88,–
3,Singapore,84,–
4,New Zealand,81,–
4,Norway,81,+1
6,Sweden,80,+2
6,Switzerland,80,-1
8,Luxembourg,78,-3
8,Netherlands,78,+1
10,Germany,77,+5
10,Iceland,77,–
12,Australia,76,-2
12,Estonia,76,+1
12,Hong Kong,76,+5
12,Ireland,76,-2
16,Canada,75,-1
17,Uruguay,73,-4
18,Bhutan,71,–
18,Japan,71,+2
20,United Kingdom,70,–
21,Austria,69,+4
21,Belgium,69,+1
21,United Arab Emirates,69,+2
24,Barbados,68,-1
24,Seychelles,68,-6
24,Taiwan,68,+1
27,France,66,-2
28,Lithuania,65,+4
29,Bahamas,64,-1
29,United States,64,-1
31,Brunei Darussalam,63,–
31,Chile,63,+1
31,Saint Vincent and the Grenadines,63,+1
31,South Korea,63,-1
35,Cape Verde,62,–
35,Israel,62,-5
37,Dominica,60,-1
37,Latvia,60,+1
39,Czech Republic,59,+7
39,Saint Lucia,59,-1
41,Botswana,58,+2
41,Qatar,58,-3
41,Rwanda,58,+2
41,Slovenia,58,-5
45,Saudi Arabia,57,-4
46,Costa Rica,56,-4
46,Grenada,56,–
46,Portugal,56,-3
49,Cyprus,55,-3
49,Fiji,55,+1
49,Spain,55,-3
52,Italy,53,–
53,Poland,52,+1
54,Malaysia,52,+3
54,Oman,52,-4
56,Bahrain,50,-6
56,Georgia,50,-3
56,Greece,50,+3
56,Jordan,50,+3
60,Malta,49,+5
61,Mauritius,48,-5
61,Slovakia,48,-2
63,Croatia,47,–
63,Vanuatu,47,-6
65,Armenia,46,-2
65,Kuwait,46,–
65,Montenegro,46,–
65,Namibia,46,-6
65,Senegal,46,+4
70,Benin,45,-1
70,Romania,45,-5
70,São Tomé and Príncipe,45,-1
73,Jamaica,44,–
73,Solomon Islands,44,+3
73,Timor-Leste,44,–
76,China,43,–
76,Ghana,43,+4
76,Ivory Coast,43,-7
76,Kosovo,43,-3
80,Moldova,42,-4
81,South Africa,41,+1
81,Trinidad and Tobago,41,+1
81,Vietnam,41,+7
84,Bulgaria,40,-8
84,Burkina Faso,40,-2
84,Cuba,40,-2
84,Guyana,40,+8
84,Hungary,40,-2
84,North Macedonia,40,+4
84,Tanzania,40,-2
91,Albania,39,-11
91,India,39,+5
91,Maldives,39,+5
91,Morocco,39,+8
91,Tunisia,39,+1
96,Ethiopia,38,+3
96,Kazakhstan,38,-8
96,Suriname,38,-8
99,Colombia,37,-7
99,Dominican Republic,37,+5
99,Gambia,37,-3
99,Lesotho,37,–
99,Zambia,37,-7
104,Argentina,36,-5
104,Belize,36,–
104,Ukraine,36,+1
107,Brazil,35,–
107,Sri Lanka,35,+14
109,Algeria,34,-2
109,Bosnia and Herzegovina,34,+5
109,Indonesia,34,-10
109,Laos,34,+5
109,Malawi,34,-2
109,Nepal,34,-2
109,Sierra Leone,34,+5
116,Ecuador,33,+5
116,Panama,33,-2
116,Serbia,33,-11
116,Thailand,33,-9
120,Angola,32,+1
120,El Salvador,32,+10
120,Philippines,32,-6
120,Togo,32,+1
124,Belarus,31,-10
124,Djibouti,31,+3
124,Mongolia,31,-10
124,Niger,31,-17
124,Turkey,31,-17
124,Uzbekistan,31,-3
130,Azerbaijan,30,+24
130,Egypt,30,–
130,Kenya,30,-9
130,Mauritania,30,–
130,Peru,30,-3
135,Gabon,29,–
136,Bolivia,28,-3
136,Iraq,28,+4
136,Liberia,28,-1
136,Mali,28,-1
136,Pakistan,28,-1
141,Mexico,27,-1
142,Cameroon,26,-2
142,Guatemala,26,+4
142,Guinea,26,-9
142,Kyrgyzstan,26,+4
142,Nigeria,26,-2
142,Papua New Guinea,26,-15
148,Madagascar,25,-8
148,Uganda,25,-8
150,Bangladesh,24,+1
150,Central African Republic,24,-1
150,Paraguay,24,-1
153,Congo,23,-2
153,Eswatini,23,-18
153,Iran,23,-2
153,Lebanon,23,+1
157,Chad,22,+1
157,Honduras,22,-3
157,Russia,22,-3
157,Zimbabwe,22,+1
161,Guinea-Bissau,21,-3
161,Mozambique,21,-15
163,Cambodia,20,-5
163,Comoros,20,-5
163,Democratic Republic of the Congo,20,–
166,Tajikistan,19,-2
167,Burundi,17,-2
167,Turkmenistan,17,-2
169,Afghanistan,16,-4
169,Haiti,16,-1
169,Myanmar,16,-1
172,Equatorial Guinea,15,+1
172,North Korea,15,-2
172,Syria,15,+5
175,Nicaragua,14,-3
175,Sudan,14,-5
177,Eritrea,13,-4
177,Libya,13,-4
177,Yemen,13,-4
180,Venezuela,10,-2
181,Somalia,9,-2
181,South Sudan,9,-1
